iter	Passed	Remaining
0	0	75
1	1	68
2	1	61
3	2	59
4	3	58
5	3	59
6	4	58
7	5	59
8	5	59
9	6	59
10	7	60
11	8	58
12	8	56
13	9	56
14	10	57
15	10	56
16	11	57
17	12	57
18	13	58
19	14	57
20	14	55
21	15	54
22	15	53
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	22	46
32	22	45
33	23	45
34	24	45
35	25	44
36	25	44
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	25
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	19
72	52	19
73	52	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	13
82	59	12
83	60	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	70	2
96	71	2
97	72	1
98	73	0
99	74	0
